OK  34186709456607232 | 2026大港閱冰冰品嘉年華：最佳人氣由你來決定_copy
OK  34179938530187264 | IT15_registration_open_0712172745
OK  34179931125268480 | IT13M_registration_open_0712172553
OK  34179926528311296 | IT13C_registration_open_0712172443
OK  34179923320123392 | IT13H_registration_open_0712172354
OK  34179921070075904 | IT12_registration_open_0712172320
OK  34179918876727296 | IT12B_registration_open_0712172246
OK  34179916141518848 | IT12X_registration_open_0712172204
OK  34179913966829568 | IT12_registration_open_0712172131
OK  34179911692529664 | IT12_registration_open_0712172057
OK  34179909512540160 | IT12_registration_open_0712172023
OK  34179908133466112 | IT11_registration_open_0712172002
OK  34179906526003200 | IT11R_registration_open_0712171937
OK  34179904754180096 | IT11F_registration_open_0712171911
OK  34179903343378432 | IT11_registration_open_0712171849
OK  34179900014735360 | IT13_registration_open_0712171758
OK  34179898782603264 | IT09L_registration_open_0712171740
OK  34179897653682176 | IT10E_in_progress_0712171722
OK  34179895327809536 | IT10M_registration_open_0712171647
OK  34179892941238272 | IT10L_registration_open_0712171610
OK  34179891664347136 | IT10L_registration_open_0712171551
OK  34179890587656192 | IT10_registration_open_0712171535
OK  34179889765232640 | IT10_pre_open_0712171522
OK  34179888092635136 | IT09_registration_open_0712171456
OK  34179801199230976 | IT11_registration_open_0712165251
OK  34179799640195072 | IT11R_registration_open_0712165227
OK  34179797837299712 | IT11F_registration_open_0712165159
OK  34179796325314560 | IT11_registration_open_0712165136
OK  34179690375438336 | IT12B_registration_open_0712162439
OK  34179594879260672 | IT15_registration_open_0712160022
OK  34179590087983104 | IT12B_registration_open_0712155908
OK  34179582990172160 | IT12T_registration_open_0712155722
OK  34179582105174016 | IT11R_registration_open_0712155707
OK  34179580318341120 | IT11F_registration_open_0712155640
OK  34179571939303424 | IT11R_registration_open_0712155434
OK  34179569882705920 | IT11R_registration_open_0712155402
OK  34179567190425600 | IT11R_registration_open_0712155321
OK  34178863914496000 | IT11G_registration_open_0712125430
OK  34178859479031808 | IT11F_registration_open_0712125323
OK  34178797160378368 | IT16對照_改名_378368
OK  34178788509298688 | IT11_registration_open_0712123518
OK  34178786852034560 | IT11_registration_open_0712123451
OK  34178779060781056 | IT11C_registration_open_0712123255
OK  34178774619281408 | IT11B_registration_open_0712123148
OK  34178768941559808 | IT11_registration_open_0712123021
OK  34178630739968000 | IT13M_registration_open_0712115511
OK  34178626773856256 | IT13C_registration_open_0712115411
OK  34178624120500224 | IT13H_registration_open_0712115330
OK  34178624913289216 | IT12D_registration_open_0712115344
OK  34178621315035136 | IT12X_registration_open_0712115247
OK  34178604264349696 | IT09L_registration_open_0712114827
OK  34178601384751104 | IT12X_registration_open_0712114743
OK  34178596327677952 | IT10E_in_progress_0712114626
OK  34178594162163712 | IT10M_registration_open_0712114553
OK  34178580239374336 | IT10Z_in_progress_0712114222
OK  34178563562887168 | IT10Y_registration_open_0712113807
OK  34178561342527488 | IT10X_registration_open_0712113733
OK  34178555233458176 | IT13M_registration_open_0712113559
OK  34178551254898688 | IT13C_registration_open_0712113458
OK  34178548674539520 | IT13H_registration_open_0712113419
OK  34178549610196992 | IT10S_registration_open_0712113434
OK  34178515278381056 | IT13C_registration_open_0712112551
OK  34178513729433600 | IT13H_registration_open_0712112527
OK  34178447748575232 | IT12_registration_open_0712110839
OK  34178445585242112 | IT12_registration_open_0712110806
OK  34178443395424256 | IT12_registration_open_0712110732
OK  34178441149628416 | IT12_registration_open_0712110658
OK  34178433934508032 | IT12_registration_open_0712110507
OK  34178431649994752 | IT12_registration_open_0712110433
OK  34178429346799616 | IT12_registration_open_0712110356
OK  34178426843125760 | IT12_registration_open_0712110318
OK  34178420783142912 | IT12FM_registration_open_0712110149
OK  34178414083321856 | IT12_registration_open_0712110003
OK  34178410138001408 | IT12_registration_open_0712105903
OK  34178406205511680 | IT12_registration_open_0712105802
OK  34178402164563968 | IT12_registration_open_0712105702
OK  34178395176255488 | IT12BE_registration_open_0712105518
OK  34178393503782912 | IT12BE_registration_open_0712105453
OK  34178387009888256 | IT12_registration_open_0712105309
OK  34178383824902144 | IT12_registration_open_0712105223
OK  34175621092556800 | IT13_registration_open_0711230950
OK  34175618718183424 | IT10L_registration_open_0711230913
OK  34175617428838400 | IT10L_registration_open_0711230854
OK  34175613724213248 | IT13_registration_open_0711230757
OK  34175600753334272 | IT13_registration_open_0711230439
OK  34175595450548224 | IT13_registration_open_0711230318
OK  34175588330127360 | IT13_registration_open_0711230130
OK  34175581026934784 | IT10L_registration_open_0711225938
OK  34175543876409344 | IT10L_registration_open_0711225011
OK  34175467552462848 | IT10_registration_open_0711223046
OK  34175466797293568 | IT10_pre_open_0711223034
OK  34175465428828160 | IT09_registration_open_0711223014
OK  34175464107366400 | IT09_pre_open_0711222954
OK  34175458579525632 | IT10_registration_open_0711222829
OK  34175457771995136 | IT10_pre_open_0711222818
OK  34175456857249792 | IT09_registration_open_0711222803
OK  34175455892494336 | IT09_pre_open_0711222749
OK  34175453480704000 | IT09_pre_open_0711222712
OK  34175450552098816 | IT10_registration_open_0711222628
OK  34175449896017920 | IT10_pre_open_0711222617
OK  34175448986574848 | IT09_registration_open_0711222603
OK  34175448033419264 | IT09_pre_open_0711222549
OK  34175430196879360 | IT10_registration_open_0711222117
OK  34175429507301376 | IT10_pre_open_0711222106
OK  34175428591890432 | IT09_registration_open_0711222052
OK  34175427863396352 | IT09_pre_open_0711222041
OK  34174832345307136 | 未命名活動
OK  34174831136432128 | 未命名活動
OK  34174825260537856 | 未命名活動
OK  34174824072298496 | 未命名活動
OK  34174818576850944 | 未命名活動
OK  34174799699263488 | 未命名活動
OK  34174784527740928 | 未命名活動
OK  34174777492455424 | 未命名活動
OK  34174762722148352 | 未命名活動
OK  34174758332293120 | 未命名活動
OK  34174750529443840 | 未命名活動
OK  34174714942545920 | IT08_in_progress_0711191923
OK  34174713906812928 | IT08_registration_open_0711191907
OK  34174712038113280 | IT08_registration_open_0711191839
OK  34174710887432192 | IT08_ended_0711191821
OK  34174709791744000 | IT08_in_progress_0711191804
OK  34174708691316736 | IT08_registration_open_0711191748
OK  34174707576090624 | IT08_pre_open_0711191730
OK  34174706373976064 | 未命名活動
OK  34174705538324480 | IT08_ended_0711191659
OK  34174704855105536 | IT08_in_progress_0711191649
OK  34174704189396992 | IT08_registration_open_0711191639
OK  34174703539214336 | IT08_pre_open_0711191629
OK  34174702757240832 | 未命名活動
OK  34174642341107712 | IT08_in_progress_0711190055
OK  34174641318936576 | IT08_registration_open_0711190040
OK  34174640132675584 | IT08_registration_open_0711190022
OK  34174639039852544 | IT08_ended_0711190005
OK  34174637904048128 | IT08_in_progress_0711185948
OK  34174636797878272 | IT08_registration_open_0711185931
OK  34174635643002880 | IT08_pre_open_0711185913
OK  34174634408105984 | 未命名活動
OK  34174633559666688 | IT08_ended_0711185841
OK  34174632904448000 | IT08_in_progress_0711185831
OK  34174632255905792 | IT08_registration_open_0711185821
OK  34174631549622272 | IT08_pre_open_0711185811
OK  34174630763583488 | 未命名活動
OK  34174628356239360 | IT08_registration_open_0711185722
OK  34174627183931392 | IT08_registration_open_0711185704
OK  34174616856909824 | PROBE_registration_open_0711185427
OK  34174610981535744 | PROBE_registration_open_0711185257
OK  34174601258811392 | IT08_registration_open_0711185028
OK  34174599520673792 | IT08_registration_open_0711185002
OK  34174598400008192 | IT08_ended_0711184945
OK  34174597267140608 | IT08_in_progress_0711184928
OK  34174596119805952 | IT08_registration_open_0711184910
OK  34174591525269504 | PROBE_ended_0711184753
OK  34174584789161984 | IT08_in_progress_0711184617
OK  34174583812145152 | IT08_registration_open_0711184602
OK  34174582167918592 | IT08_registration_open_0711184537
OK  34174581000069120 | IT08_ended_0711184519
OK  34174579881750528 | IT08_in_progress_0711184502
OK  34174578732718080 | IT08_registration_open_0711184445
OK  34174577592195072 | IT08_pre_open_0711184427
OK  34174576385808384 | 未命名活動
OK  34174575554091008 | IT08_ended_0711184356
OK  34174574867660800 | IT08_in_progress_0711184346
OK  34174574183012352 | IT08_registration_open_0711184335
OK  34174573248262144 | IT08_pre_open_0711184321
OK  34174572451741696 | 未命名活動
OK  34174553790758912 | IT08_ended_0711183821
OK  34174552347521024 | 未命名活動
OK  34174303839862784 | 未命名活動
OK  34174300370589696 | 未命名活動
OK  34173004811624448 | 未命名活動
OK  34172997891676160 | 未命名活動
OK  34172989441857536 | 未命名活動
OK  34172874198571008 | 未命名活動
OK  34172869790216192 | 未命名活動
OK  34172860006096896 | 未命名活動
OK  34172854783399936 | 未命名活動
OK  34172840176922624 | 未命名活動
OK  34172671133507584 | 未命名活動
OK  34172662682435584 | 未命名活動
OK  34169633238292480 | 未命名活動
OK  34169576549720064 | 未命名活動
OK  34169570849130496 | 未命名活動
OK  34169569149460480 | 未命名活動
OK  34169542581422080 | 未命名活動
OK  34169536619024384 | 未命名活動
OK  34169510001186816 | 未命名活動
OK  34169508583708672 | 未命名活動
OK  34169502379282432 | 未命名活動
OK  34169501024782336 | 未命名活動
OK  34169495405862912 | 未命名活動
OK  34169479660249088 | 未命名活動
OK  34169448466489344 | 未命名活動
OK  34169379137849344 | 未命名活動
OK  34169310942730240 | 未命名活動
OK  34169303252862976 | 未命名活動
OK  34169277468057600 | 未命名活動
OK  34169246360995840 | 未命名活動
OK  34169242102601728 | 未命名活動
OK  34169224899729408 | 未命名活動
OK  34168852381120512 | 未命名活動
OK  34168843007637504 | 未命名活動
OK  34168827235338240 | 未命名活動
OK  34168006242668544 | 未命名活動
OK  34162603948056576 | 未命名活動
OK  34162591058960384 | 未命名活動
OK  34162581513383936 | 未命名活動
OK  34162561167527936 | 未命名活動
OK  34162528173301760 | 未命名活動
OK  34162517037887488 | 未命名活動
OK  34162466229592064 | 未命名活動
OK  34162120842817536 | 未命名活動
OK  34162018510178304 | 未命名活動
OK  34162008415281152 | 未命名活動
OK  34161991971506176 | 未命名活動
OK  34161509600595968 | 未命名活動
OK  34157014572009472 | 未命名活動
OK  34157010820728832 | 未命名活動
OK  34156997385203712 | AItest_網路擷取_名稱
OK  34156992992385024 | 未命名活動
OK  34156934400782336 | 未命名活動
OK  34156930764255232 | 未命名活動
OK  34156920949381120 | 未命名活動
OK  34156910032064512 | 未命名活動
OK  34156885032830976 | 未命名活動
OK  34156811342712832 | 未命名活動0708_copy
OK  33953820758020096 | 未命名活動

總計 目標=281 成功=281 失敗=0
